Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
Cyber Security,Assistant Vice President,Project / Process,Manage security Admin tasks on tools,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,Project / Process,Support in internal and external audit with Major non compliances,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,Internal / External Customer,Review of dashboard,Weekly review of dashboard | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,Internal / External Customer,Quaterly Departmental review,On time and detailed | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,Internal / External Customer,Escalations,NO escalations from customers. All internal escalations to be closed on time or be accepted by stakeholders as infeasible | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,Internal / External Customer,CSAT,2025-10-08 00:00:00,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,Internal / External Customer,Sentiment Analysis,"Customers - Should say overall ""Competent"" and ""Professional"" Team - Should say "" Supportive"" , "" Competent""",3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,People,Team Leadership & Development,less than 15% attrition in department | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,People,Training & skill development,40 hours of training in a year arranged by MGS | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Assistant Vice President,People,Interpersonal skills,No Major Escalation for behavioral issues | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Business Analyst,Internal / External Customer,Guidance to end use to raise tickets in tools,100% Adherenace to guidelines,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Internal / External Customer,C-SaT,08by 10,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,People,Training & skill development,40 hours of training in a year arranged by MGS,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Financial,Implementation of Regulatory guidelines,100% ahereance to guidelines,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Financial,Renewal of certificate,"annually renewal of certifcation (ISO 27001, ISO 2230 & PCIDSS)",10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Project / Process,Internal Audit,Audit clauser with Minor NC and collabration with respective department for the same,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Project / Process,3rd party Vendor Audit,100% ahereance to guidelines,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Project / Process,Client Audit,100% ahereance to guidelines,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Business Analyst,Internal / External Customer,Process Optimization & Updation to regulatlory guidelines,100% Adherenace to guidelines,10.00,Sourced from Cyber Security / GRC Analyst
Cyber Security,Manager,Project / Process,"Adherenace to external guidelines for sub processes application, Infra & SOC",complete implementations in a time bound manner with 99% accuracy | Source: 20,4.21,"Application, Infra & SOC; Sourced from Cyber Security / Senior Manager - Cyber Security"
Cyber Security,Manager,Project / Process,Consume allocated budgets on time,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,"Adherenace to internal guidelines for process changes, improvements, innovation & Business objective",complete implementations in a time bound manner with 99% accuracy,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Documentation,"For Relevant major activities, reports, Tickets, Dashboard should be made readily available without delay or omission to senior management for stretatgic review",4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Risk Management & Governance,All Applicable risk identification and risk treatment should happen periodically in time bound manner | Source: 20,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Risk identification should happen internally. 90%of nre risks identified should be from internal team rather than external auditors or risk,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Risk treatment of high impact risk should not miss any SLAs ( 100 %),,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Incident Response & Resilience,"100% ahereance to Defined timelines for detection, response and mitigation | Source: 10",4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,SOC usecases to be increased to fit security postures,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,SIEM technical and process improvements for optimization,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,24*7 Support to be spotless with overall coverage,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,All assets to be monitored and covered,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Security optimization,Decrease TAT for security assessments and reports | Source: 10,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Support and review new changes especially for CCB and Infra,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Use of automation tools and scripts to improve overall efficiencies,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Support in cert-in audits. Time and quality to be monitored for less TAT,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Application Security & Infra,All products to e risk free in a calendar activity,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Changes in implementation for banks to be reviewed with consistencies. Target 100% reviews in tandem with CCB,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,"Reports to have Scope, details, peer reviews, detailed POCs etc as discussed from time to time",,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Manage security Admin tasks on tools,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Project / Process,Support in internal and external audit with Major non compliances,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Internal / External Customer,Review of dashboard,Weekly review of dashboard | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Internal / External Customer,Quaterly Departmental review,On time and detailed | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Internal / External Customer,Escalations,NO escalations from customers. All internal escalations to be closed on time or be accepted by stakeholders as infeasible | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Internal / External Customer,CSAT,2025-10-08 00:00:00,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,Internal / External Customer,Sentiment Analysis,"Customers - Should say overall ""Competent"" and ""Professional"" Team - Should say "" Supportive"" , "" Competent""",3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,People,Team Leadership & Development,less than 15% attrition in department | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,People,Training & skill development,40 hours of training in a year arranged by MGS | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Manager,People,Interpersonal skills,No Major Escalation for behavioral issues | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Security Analyst,Financial,Rapid and Comprehensive Incident Response & Mitigation,100% timeline to be followed as per SLA,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,Project / Process,Security tool optimization,100% Analysis of triggered events,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,Project / Process,Exit Compliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,Project / Process,cyber security Monitoring & Surveliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,Project / Process,DashBoard Maintanance,Daily Update of Dashaboard,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,Internal / External Customer,C-SAT,8 by 10,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,People,Training & skill development,40 hours of training in a year arranged by MGS,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Security Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Manager,Project / Process,"Adherenace to external guidelines for sub processes application, Infra & SOC",complete implementations in a time bound manner with 99% accuracy | Source: 20,4.21,"Application, Infra & SOC; Sourced from Cyber Security / Senior Manager - Cyber Security"
Cyber Security,Senior Manager,Project / Process,Consume allocated budgets on time,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,"Adherenace to internal guidelines for process changes, improvements, innovation & Business objective",complete implementations in a time bound manner with 99% accuracy,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Documentation,"For Relevant major activities, reports, Tickets, Dashboard should be made readily available without delay or omission to senior management for stretatgic review",4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Risk Management & Governance,All Applicable risk identification and risk treatment should happen periodically in time bound manner | Source: 20,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Risk identification should happen internally. 90%of nre risks identified should be from internal team rather than external auditors or risk,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Risk treatment of high impact risk should not miss any SLAs ( 100 %),,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Incident Response & Resilience,"100% ahereance to Defined timelines for detection, response and mitigation | Source: 10",4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,SOC usecases to be increased to fit security postures,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,SIEM technical and process improvements for optimization,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,24*7 Support to be spotless with overall coverage,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,All assets to be monitored and covered,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Security optimization,Decrease TAT for security assessments and reports | Source: 10,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Support and review new changes especially for CCB and Infra,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Use of automation tools and scripts to improve overall efficiencies,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Support in cert-in audits. Time and quality to be monitored for less TAT,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Application Security & Infra,All products to e risk free in a calendar activity,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Changes in implementation for banks to be reviewed with consistencies. Target 100% reviews in tandem with CCB,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,"Reports to have Scope, details, peer reviews, detailed POCs etc as discussed from time to time",,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Manage security Admin tasks on tools,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Project / Process,Support in internal and external audit with Major non compliances,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Internal / External Customer,Review of dashboard,Weekly review of dashboard | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Internal / External Customer,Quaterly Departmental review,On time and detailed | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Internal / External Customer,Escalations,NO escalations from customers. All internal escalations to be closed on time or be accepted by stakeholders as infeasible | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Internal / External Customer,CSAT,2025-10-08 00:00:00,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,Internal / External Customer,Sentiment Analysis,"Customers - Should say overall ""Competent"" and ""Professional"" Team - Should say "" Supportive"" , "" Competent""",3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,People,Team Leadership & Development,less than 15% attrition in department | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,People,Training & skill development,40 hours of training in a year arranged by MGS | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior Manager,People,Interpersonal skills,No Major Escalation for behavioral issues | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Senior SOC Analyst,Financial,Rapid and Comprehensive Incident Response & Mitigation,100% timeline to be followed as per SLA,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,Project / Process,Security tool optimization,100% Analysis of triggered events,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,Project / Process,Exit Compliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,Project / Process,cyber security Monitoring & Surveliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,Project / Process,DashBoard Maintanance,Daily Update of Dashaboard,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,Internal / External Customer,C-SAT,8 by 10,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,People,Training & skill development,40 hours of training in a year arranged by MGS,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior SOC Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,Financial,Rapid and Comprehensive Incident Response & Mitigation,100% timeline to be followed as per SLA,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,Project / Process,Security tool optimization,100% Analysis of triggered events,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,Project / Process,Exit Compliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,Project / Process,cyber security Monitoring & Surveliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,Project / Process,DashBoard Maintanance,Daily Update of Dashaboard,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,Internal / External Customer,C-SAT,8 by 10,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,People,Training & skill development,40 hours of training in a year arranged by MGS,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Senior Security Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,Financial,Rapid and Comprehensive Incident Response & Mitigation,100% timeline to be followed as per SLA,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,Project / Process,Security tool optimization,100% Analysis of triggered events,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,Project / Process,Exit Compliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,Project / Process,cyber security Monitoring & Surveliance,100% Adherence to guidelines,13.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,Project / Process,DashBoard Maintanance,Daily Update of Dashaboard,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,Internal / External Customer,C-SAT,8 by 10,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,People,Training & skill development,40 hours of training in a year arranged by MGS,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Trainee,People,Interpersonal skills,No Major Escalation for behavioral issues,12.00,Sourced from Cyber Security / SOC Analyst
Cyber Security,Vice President I,Project / Process,"Adherenace to external guidelines for sub processes application, Infra & SOC",complete implementations in a time bound manner with 99% accuracy | Source: 20,4.21,"Application, Infra & SOC; Sourced from Cyber Security / Senior Manager - Cyber Security"
Cyber Security,Vice President I,Project / Process,Consume allocated budgets on time,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,"Adherenace to internal guidelines for process changes, improvements, innovation & Business objective",complete implementations in a time bound manner with 99% accuracy,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Documentation,"For Relevant major activities, reports, Tickets, Dashboard should be made readily available without delay or omission to senior management for stretatgic review",4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Risk Management & Governance,All Applicable risk identification and risk treatment should happen periodically in time bound manner | Source: 20,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Risk identification should happen internally. 90%of nre risks identified should be from internal team rather than external auditors or risk,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Risk treatment of high impact risk should not miss any SLAs ( 100 %),,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Incident Response & Resilience,"100% ahereance to Defined timelines for detection, response and mitigation | Source: 10",4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,SOC usecases to be increased to fit security postures,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,SIEM technical and process improvements for optimization,,4.12,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,24*7 Support to be spotless with overall coverage,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,All assets to be monitored and covered,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Security optimization,Decrease TAT for security assessments and reports | Source: 10,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Support and review new changes especially for CCB and Infra,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Use of automation tools and scripts to improve overall efficiencies,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Support in cert-in audits. Time and quality to be monitored for less TAT,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Application Security & Infra,All products to e risk free in a calendar activity,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Changes in implementation for banks to be reviewed with consistencies. Target 100% reviews in tandem with CCB,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,"Reports to have Scope, details, peer reviews, detailed POCs etc as discussed from time to time",,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Manage security Admin tasks on tools,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Project / Process,Support in internal and external audit with Major non compliances,,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Internal / External Customer,Review of dashboard,Weekly review of dashboard | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Internal / External Customer,Quaterly Departmental review,On time and detailed | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Internal / External Customer,Escalations,NO escalations from customers. All internal escalations to be closed on time or be accepted by stakeholders as infeasible | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Internal / External Customer,CSAT,2025-10-08 00:00:00,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,Internal / External Customer,Sentiment Analysis,"Customers - Should say overall ""Competent"" and ""Professional"" Team - Should say "" Supportive"" , "" Competent""",3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,People,Team Leadership & Development,less than 15% attrition in department | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,People,Training & skill development,40 hours of training in a year arranged by MGS | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
Cyber Security,Vice President I,People,Interpersonal skills,No Major Escalation for behavioral issues | Source: 5,3.09,Sourced from Cyber Security / Senior Manager - Cyber Security
DevOps,DevOps Engineer,Financial,Cloud Infrastructure Cost & Resource Optimization,Maintain cloud infra budget variance within approved limits; zero idle resource waste,15.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,DevOps Engineer,Financial,Prevent Production Downtime Penalties,Maintain 99.9% availability across deployment pipelines and managed environments,10.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,DevOps Engineer,Project / Process,CI/CD Pipeline Automation & Build Release Efficiency,100% automated CI/CD pipeline implementation; reduce manual deployment effort by 25%,20.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,DevOps Engineer,Project / Process,"Infrastructure Security, OS Patching & Compliance Audit",0 critical vulnerabilities in OS/Cloud setup; monthly patch audit compliance,15.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,DevOps Engineer,Project / Process,"Incident Monitoring, Alerting & Root Cause Analysis (RCA)",MTTR < 1 hour for major incidents; submit RCA within 24 hours of incident resolution,15.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,DevOps Engineer,Internal / External Customer,Environment Provisioning & Deployment Support SLA,95%+ on-time environment provisioning and release deployment SLA adherence for dev/QA teams,12.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,DevOps Engineer,People,DevOps Runbook Documentation & Skill Upgrading,Maintain 100% updated DevOps runbooks; complete 40 hrs annual cloud/DevOps training,13.00,Sourced from DevOps & Engineering / DevOps Engineer
DevOps,Senior Devops Engineer,Financial,Cloud Infrastructure Budgeting & Cost Savings,"Achieve 10-15% annual cloud cost savings via reserved instances, spot instances & architecture tuning",15.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Senior Devops Engineer,Financial,High Availability (HA) & Disaster Recovery (DR) Assurance,"RPO < 15 mins, RTO < 1 hour; 0 financial penalty due to infrastructure outage",10.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Senior Devops Engineer,Project / Process,Infrastructure as Code (IaC) & Deployment Architecture,100% infrastructure managed via Terraform/Ansible; 99.95% system uptime,20.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Senior Devops Engineer,Project / Process,"Security Audit, SOC2 / PCI-DSS / ISO27001 Compliance",100% compliance with enterprise security audits and zero critical vulnerability findings,15.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Senior Devops Engineer,Project / Process,"Automated Monitoring, Telemetry & Failover Automation",Proactive alert coverage >= 95%; automated failover test pass rate 100%,15.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Senior Devops Engineer,Internal / External Customer,Release Management & Stakeholder Deployment SLA,Maintain zero release delays attributable to infrastructure or pipeline failures,12.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Senior Devops Engineer,People,"DevOps Leadership, Team Mentorship & Technology Roadmap",Drive DevOps best practices; mentor junior engineers; complete 40 hrs advanced research/training,13.00,Sourced from DevOps & Engineering / Senior Devops Engineer
DevOps,Software Developer,Project / Process,Implementation as per Design & Architecture,100% adherence to architecture & functional specifications as per FSD,20.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Software Developer,Project / Process,Use of Tools (Zoho/Jira) for Project Tracking,100% adoption with daily task logging reviewed and audited by lead,15.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Software Developer,Project / Process,Focus on Coding Quality & Defect Reduction,Testing defect should be less than 5%; First Time Right (FTR) pass rate >= 90%,15.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Software Developer,People,"Training, Peer Collaboration & Knowledge Transfer",Ensure 40 hrs training/year & participate in internal KT sessions,15.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Software Developer,Financial,CR & Project Delivery Planned Vs Actual,As per milestone tracked in Zoho; delivery within allocated effort budget,10.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Software Developer,Financial,Ensuring Code Review and Security Compliance,Defect Ratio should not be more than 5%; 0 out-of-fund issues,10.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Software Developer,Internal / External Customer,Response to Client/Lead Queries & Escalations,Max in 24 hrs for escalations & 48 hrs for general query resolution,15.00,Sourced from DevOps & Engineering / Software Developer
DevOps,Trainee,Financial,On-Time Task Execution within Assigned Effort,Deliver 90%+ assigned module tasks within estimated timeline & budget,10.00,Sourced from DevOps & Engineering / Trainee
DevOps,Trainee,Project / Process,Adherence to Coding & DevOps Operational Guidelines,"100% compliance with coding guidelines, version control, and infrastructure checklists",20.00,Sourced from DevOps & Engineering / Trainee
DevOps,Trainee,Project / Process,Task & Ticket Tracking in Zoho/Jira,"100% adoption of Zoho/Jira for task logging, timesheets, and bug updates",15.00,Sourced from DevOps & Engineering / Trainee
DevOps,Trainee,Project / Process,Defect Density & First Time Right Code Quality,Unit test code coverage >= 80%; QA testing defects < 5%,15.00,Sourced from DevOps & Engineering / Trainee
DevOps,Trainee,Internal / External Customer,Prompt Response to Mentor & Lead Queries,Acknowledge and resolve internal support tickets and queries within 24 hours SLA,15.00,Sourced from DevOps & Engineering / Trainee
DevOps,Trainee,People,Foundation Training & Skill Certification,Complete mandatory foundation trainings & 1 domain/technical certification within review period,15.00,Sourced from DevOps & Engineering / Trainee
DevOps,Trainee,Financial,Zero Production Defect Impact,0 production outage or out-of-fund issue caused by assigned code/tasks,10.00,Sourced from DevOps & Engineering / Trainee
Development,Assistant Manager,Financial,Operational budget tracking & effort variance control,Maintain operational effort variance within <= 5% of assigned budget,15.00,
Development,Assistant Manager,Financial,Resource utilization & cost efficiency,Ensure billable resource utilization rate >= 88% across assigned team,10.00,
Development,Assistant Manager,Project / Process,Project execution monitoring & SLA tracking,95%+ on-time milestone execution; daily progress monitoring in Zoho,20.00,
Development,Assistant Manager,Project / Process,Quality control & process compliance auditing,Audit process compliance monthly; ensure team defect ratio < 5%,15.00,
Development,Assistant Manager,Project / Process,Cross-functional dependency coordination,Resolve inter-departmental dependencies within 24 hours SLA,15.00,
Development,Assistant Manager,Internal / External Customer,Client operational queries & ticket resolution,Resolve operational queries within 24 hours; CSAT score >= 8.5/10,12.00,
Development,Assistant Manager,People,"Team motivation, shift planning & training oversight",Execute quarterly performance check-ins; ensure team completes 40 hrs training,13.00,
Development,Assistant Vice President,Financial,Strategic financial growth & portfolio P&L management,Achieve assigned annual business unit revenue and EBIT targets,20.00,
Development,Assistant Vice President,Financial,Cost structure optimization & margin expansion,Improve operating margin by 3-5% through operational efficiencies,10.00,
Development,Assistant Vice President,Project / Process,Portfolio governance & delivery excellence,Ensure 100% major client projects meet SLA and timeline standards,20.00,
